id:ID(Student),name,enrollmentDate,expectedGraduation,learningStyle,preferredCourseLoad:int,preferredPace,workHoursPerWeek:int,financialAidStatus,preferredInstructionMode
QB79532,Christopher Cooper,2025-06-17,2026-03-03,Reading-Writing,5,Standard,10,Loans,Hybrid
IW07367,Mercedes Patterson,2025-08-16,2027-12-05,Kinesthetic,3,Standard,8,FinancialAid,Hybrid
QM06211,Nicole Ray,2025-12-01,2029-05-08,Reading-Writing,3,Accelerated,0,Scholarship,In-person
EE11092,Amber Holmes,2024-12-08,2026-12-16,Auditory,2,Standard,15,Loans,Online
KG30374,Jessica Nixon,2024-07-20,2026-09-16,Visual,2,Standard,14,FinancialAid,Online
FS65039,Nancy Small,2023-01-22,2027-03-10,Kinesthetic,4,Standard,14,FinancialAid,In-person
IZ92462,Brandon Carney,2024-12-21,2025-10-15,Visual,5,Standard,20,Scholarship,In-person
GO32860,Donna Hughes,2024-05-30,2026-09-10,Kinesthetic,5,Part-time,30,Self-Pay,Hybrid
YW20891,Samantha Ashley,2024-11-17,2028-02-17,Visual,3,Standard,17,FinancialAid,Hybrid
QK77308,Wanda Smith,2025-03-28,2025-07-19,Reading-Writing,4,Standard,0,Self-Pay,Online
IH16741,Nicole Lee,2024-10-15,2025-06-17,Visual,3,Standard,7,Scholarship,Hybrid
LP43423,Todd Villegas,2024-10-14,2027-04-14,Auditory,4,Standard,12,FinancialAid,In-person
LI49525,Jonathan Krueger,2023-10-14,2028-11-06,Kinesthetic,2,Part-time,23,Scholarship,Hybrid
SU37219,Susan Mitchell,2024-04-03,2027-09-28,Auditory,5,Standard,20,FinancialAid,In-person
EG34830,Jeffery Brown,2020-04-12,2027-07-22,Visual,5,Standard,6,FinancialAid,Online
KV18230,Matthew Chavez,2025-04-27,2029-08-18,Auditory,5,Standard,8,Self-Pay,Hybrid
BM31946,Carlos Wright,2025-04-25,2026-06-13,Visual,5,Standard,2,FinancialAid,Hybrid
QC89812,Ian Solomon,2021-11-16,2026-10-09,Auditory,5,Standard,20,Scholarship,In-person
RN28954,Susan Dixon,2024-12-11,2028-09-20,Auditory,4,Part-time,25,FinancialAid,In-person
JP07985,Amanda Anderson,2023-10-05,2029-06-10,Visual,4,Standard,14,FinancialAid,Hybrid
LU34231,Jared Reyes,2021-01-24,2025-06-30,Kinesthetic,2,Standard,17,FinancialAid,In-person
QA94276,Jennifer Benson,2025-01-09,2028-08-11,Visual,5,Part-time,26,Scholarship,In-person
RV71358,Frederick Hodge,2020-09-23,2025-09-04,Kinesthetic,3,Standard,11,Self-Pay,In-person
PH95604,Marilyn Frost,2025-02-15,2026-12-02,Kinesthetic,2,Standard,17,Self-Pay,Hybrid
LY59149,Nathan Lewis,2024-07-22,2027-09-05,Reading-Writing,3,Standard,19,Self-Pay,In-person
AN24593,Terri Atkinson,2025-04-23,2027-08-21,Kinesthetic,4,Standard,9,Scholarship,Online
ND06932,John Reyes,2023-12-10,2028-06-08,Visual,3,Accelerated,0,Self-Pay,Online
TS83152,Daniel Acosta,2025-05-03,2029-08-03,Reading-Writing,2,Standard,10,FinancialAid,Online
YZ21491,Christopher Cooper,2021-02-06,2025-01-11,Reading-Writing,5,Part-time,34,Self-Pay,In-person
PL75447,Timothy Sanchez,2025-05-11,2027-09-12,Visual,5,Part-time,28,Self-Pay,Hybrid
SD25972,Tammy Jefferson,2025-04-21,2025-07-06,Kinesthetic,4,Standard,1,Self-Pay,In-person
UV96616,Brian Kennedy,2024-10-18,2027-02-07,Auditory,4,Standard,8,Loans,In-person
BG96650,Charles Molina,2023-05-16,2027-09-10,Visual,4,Standard,0,Loans,In-person
JI57714,Bryan Bailey,2022-03-28,2025-03-18,Auditory,5,Standard,9,Scholarship,In-person
XB95601,Jocelyn Wheeler,2025-05-31,2029-02-15,Reading-Writing,3,Standard,1,FinancialAid,Hybrid
PN35535,John Dean,2024-03-11,2025-02-28,Reading-Writing,4,Standard,1,FinancialAid,Online
WK49977,Eric Woodard,2020-05-04,2026-05-01,Auditory,3,Part-time,28,Scholarship,Online
IK98346,Sarah Lewis,2023-02-11,2025-08-13,Reading-Writing,4,Part-time,23,Scholarship,In-person
TO03487,Nancy Huynh,2025-03-24,2029-03-01,Auditory,3,Standard,16,Self-Pay,In-person
KK03739,Charlene Martin,2021-03-23,2026-12-29,Visual,2,Standard,19,Self-Pay,Hybrid
IQ69155,Steven Odonnell,2021-12-22,2027-06-05,Visual,5,Standard,4,FinancialAid,Hybrid
JT60023,Alexis Edwards,2023-04-05,2026-09-22,Kinesthetic,5,Standard,3,Scholarship,In-person
VT29650,Eric Stanley,2023-07-15,2027-02-22,Visual,3,Part-time,39,FinancialAid,Hybrid
JJ60326,Stefanie Clark,2024-07-30,2025-08-10,Reading-Writing,3,Standard,17,Self-Pay,Online
DQ68356,Steven Matthews,2022-10-24,2025-10-06,Visual,3,Standard,9,Self-Pay,Hybrid
YG05606,Bruce Petersen,2023-06-12,2028-01-12,Kinesthetic,3,Standard,6,FinancialAid,In-person
JD80317,Julia Jordan,2025-12-24,2029-01-29,Reading-Writing,2,Part-time,26,Scholarship,Online
JE88356,Calvin Brown,2024-06-19,2029-10-02,Kinesthetic,3,Standard,11,Scholarship,In-person
QV59162,Lisa Johnson,2025-03-26,2029-06-14,Visual,2,Standard,19,Loans,In-person
FH03729,Steven Higgins,2021-10-27,2027-04-01,Visual,5,Standard,3,Self-Pay,In-person
KH26288,Jessica Hart,2025-05-07,2029-04-05,Kinesthetic,2,Accelerated,0,FinancialAid,In-person
LS25016,Sharon Gallegos,2023-06-15,2027-01-29,Visual,4,Standard,4,FinancialAid,In-person
ZN98617,Jasmine Ortega,2025-08-04,2027-03-26,Auditory,4,Accelerated,0,Self-Pay,Online
CV73907,Matthew White,2024-11-12,2026-04-25,Visual,2,Standard,8,Loans,In-person
VI84485,Anthony Hill,2023-08-24,2027-04-06,Reading-Writing,3,Standard,15,Self-Pay,In-person
BD36365,Tara Bond,2025-05-21,2029-03-26,Reading-Writing,5,Accelerated,0,FinancialAid,In-person
WA20151,Dale Serrano,2020-08-15,2027-06-12,Reading-Writing,4,Standard,5,Self-Pay,In-person
NH77673,Raymond Hensley,2020-11-12,2025-11-06,Kinesthetic,5,Part-time,32,FinancialAid,In-person
JQ49301,Emily Walker,2025-04-15,2029-03-14,Kinesthetic,2,Standard,2,FinancialAid,In-person
AK96622,William Boyd,2020-08-06,2026-08-15,Visual,4,Standard,17,Self-Pay,In-person
OQ08093,Charles Moore,2022-02-07,2026-01-13,Kinesthetic,2,Standard,19,Scholarship,In-person
FU33854,Allison White,2024-11-19,2027-08-15,Reading-Writing,5,Standard,11,Self-Pay,Online
ZA81303,Crystal Sanchez,2022-03-16,2025-03-16,Reading-Writing,5,Standard,7,FinancialAid,Online
