id:ID(Student),name,enrollmentDate,expectedGraduation,learningStyle,preferredCourseLoad:int,preferredPace,workHoursPerWeek:int,financialAidStatus,preferredInstructionMode
AE50614,Brian Hogan,2025-12-07,2026-11-03,Visual,2,Part-time,26,Scholarship,Hybrid
QE42723,Leslie Kaiser,2024-09-06,2027-11-17,Visual,2,Standard,0,Loans,Hybrid
IM31063,Jill Price,2022-09-04,2026-10-15,Visual,2,Standard,9,Scholarship,Online
BB11413,Alicia Henderson,2025-07-15,2026-09-25,Auditory,5,Part-time,38,Scholarship,Hybrid
FH22315,Shelby Hall,2021-06-07,2025-02-09,Reading-Writing,3,Accelerated,0,Self-Pay,Online
OX78212,Richard Davis,2025-06-10,2028-11-17,Reading-Writing,5,Standard,8,Loans,Online
KI81346,Nicole Garcia,2025-08-29,2026-12-07,Kinesthetic,5,Standard,2,Self-Pay,Online
TH40303,Carrie Wise,2024-05-02,2029-02-05,Reading-Writing,5,Standard,0,Self-Pay,In-person
RG81143,Richard Mills,2021-05-06,2025-12-19,Visual,3,Standard,17,Self-Pay,In-person
NG59236,Anthony Carter,2024-11-23,2028-08-11,Reading-Writing,3,Standard,15,Self-Pay,Online
PE14938,Meagan Davis,2024-03-07,2026-08-15,Reading-Writing,3,Standard,8,Loans,Online
XW99547,Charles Brown,2025-06-25,2025-02-15,Visual,2,Standard,6,FinancialAid,Online
VT93298,Misty Holloway,2024-03-01,2028-09-17,Auditory,5,Standard,3,Loans,In-person
LI13857,Brian Pham,2025-12-19,2026-06-10,Visual,5,Part-time,28,Scholarship,In-person
RE24547,Kari Lopez,2024-11-10,2028-10-16,Kinesthetic,4,Standard,2,FinancialAid,In-person
GT00568,Michael Knight,2025-01-18,2025-07-21,Visual,2,Standard,13,Loans,Online
WK81661,Christopher Anderson,2025-05-12,2027-03-22,Kinesthetic,5,Standard,15,FinancialAid,In-person
OR04317,Amanda Larsen,2024-06-01,2027-04-20,Visual,5,Standard,5,FinancialAid,Online
QE59126,Eric Morales,2023-01-22,2028-01-10,Visual,2,Part-time,22,Loans,In-person
WT20573,Brian Gomez,2022-12-26,2028-03-01,Visual,2,Standard,14,Self-Pay,Online
SL83449,Cynthia Kennedy,2021-09-29,2027-09-25,Visual,5,Standard,19,FinancialAid,Online
DF31095,Laura Turner,2024-09-27,2027-09-26,Reading-Writing,3,Standard,12,Self-Pay,In-person
TD34201,Gregory Jenkins,2024-01-01,2026-07-14,Visual,4,Standard,7,Loans,In-person
MO56628,Jill Phillips,2021-10-10,2026-07-28,Auditory,2,Part-time,35,Self-Pay,Hybrid
AU01183,Christopher Miller,2024-10-25,2029-09-19,Kinesthetic,2,Standard,5,FinancialAid,In-person
JK03015,Melissa White,2024-04-12,2027-10-02,Kinesthetic,4,Part-time,29,Loans,In-person
KL51516,Autumn Lee,2025-12-10,2027-09-10,Reading-Writing,2,Part-time,30,FinancialAid,Online
QM98949,Cody Ayers,2022-02-07,2027-09-30,Reading-Writing,2,Standard,19,FinancialAid,Hybrid
VD91948,Laura Wagner,2023-07-01,2026-12-03,Reading-Writing,5,Standard,5,Self-Pay,In-person
QL51743,Alexis Thompson,2024-09-26,2027-04-18,Visual,2,Standard,19,Self-Pay,In-person
KP13786,Alexander Mccormick,2024-04-23,2028-05-19,Reading-Writing,3,Standard,15,Self-Pay,In-person
CO71438,Parker Ross,2022-10-29,2027-07-11,Auditory,5,Standard,15,FinancialAid,In-person
PW67541,Martin Escobar,2024-03-16,2026-10-25,Kinesthetic,5,Standard,2,FinancialAid,Online
KG19612,David Cook,2025-09-30,2026-01-08,Visual,4,Standard,10,FinancialAid,In-person
